lastmodified	id	title	abstract	speakers_name	location_name	location_id	day	date	start	end	duration	language	experiencelevel	track	type	url	slides_pdflink	slides_pptlink	slides_keylink	slides_slideshare	recordings_youtube	recordings_vimeo	recordings_oggtheora	recordings_mpeg4video	recordings_oggvorbis	recordings_mpeg4audio	recordings_mp3audio
03.05.2013 00:00:00	5115	Eröffnung	tba	Andreas Gebhard, Markus Beckedahl, Tanja Haeusler, Johnny Haeusler	stage 1	stage 1	1	06.05.2013 00:00:00	06.05.2013 08:15:00	06.05.2013 09:00:00	45	German	Beginner	re:publica	Vortrag						http://youtube.com/watch?v=iWlC59PSYhM						
03.05.2013 00:00:00	5044	Innovating Africa	tba	Erik Hersman	stage 1	stage 1	1	06.05.2013 00:00:00	06.05.2013 09:00:00	06.05.2013 10:00:00	60	English	Beginner	politics & society	Vortrag						http://youtube.com/watch?v=1AYsmc4Kstw						
03.05.2013 00:00:00	5369	brand eins	Informationen rein, Wissen raus. Wie wird das Netz zur Lernmaschine? Digitale Systeme haben die Welt effizient gemacht. Effizienter, als wir es uns vor zwanzig Jahren hätten vorstellen können. Das Internet speichert Informationen und verteilt sie über den Globus, optimiert Unternehmens-Prozesse und sammelt Spenden für gute Anliegen ein. Das ist alles wunderbar. Aber da muss noch mehr gehen. Wie wird das Internet zur echten Lernmaschine? Die uns nicht ratlos mit endlosen Suchtrefferlisten zurück lässt, sondern das Wissen der Welt auf einer neuen Ebene anreichert und für alle nutzbar macht? Und wie speichern wir eigentlich Können? Auf die Suche nach Antworten begeben sich Wolf Lotter, Anja Ebersbach, Gunter Dueck, Christoph Meinel und Juergen Erbeldinger im Interview-Stream unseres Medienpartners brand eins – jeweils in den Pausen zwischen den Keynotes auf STAGE 1. Die Fragen stellt der brand eins Technologie-Korrespondent Thomas Ramge. Präsentiert von brand eins – Das Wirtschaftmagazin.	Anja Ebersbach	stage 1	stage 1	1	06.05.2013 00:00:00	06.05.2013 10:00:00	06.05.2013 10:15:00	15	German	Beginner	research & education	Diskussion						http://youtube.com/watch?v=LevDWE-_WJs						
03.05.2013 00:00:00	5035	Aufruf zum metakulturellen Diskurs	Die aufkommende Wissensgesellschaft wird in eine neuen Kultur münden, die wir jetzt gestalten sollten. Stattdessen wird jedes Tages-Kleinstdetail wieder und wieder aus verschiedenen alten und neuen Kulturblickwinkeln heraus leidenschaftlich befürwortet oder wutbürgerlich abgelehnt. Frommwunschforderungen werden durch ätzende Mühlen gedreht, Fehler der anderen verachtend shitgestormt. Aus solchen Diskussionen entsteht aber kein Diskurs (eine konstruktive Auseinandersetzung mit dem Ziel eines gemeinsamen Weges). Woran leiden wir? Vielleicht sind wir - jeder für sich - zu sehr Gefangene unserer speziellen Denkkulturen. Diese sollen kurz gezeigt und andiskutiert werden - Aufruf zu einem "Blick aus dem Helikopter"	Gunter Dueck	stage 1	stage 1	1	06.05.2013 00:00:00	06.05.2013 10:15:00	06.05.2013 11:15:00	60	German	Beginner	politics & society	Vortrag						http://youtube.com/watch?v=uPU1y9V3jL4						
03.05.2013 00:00:00	5048	brand eins	Informationen rein, Wissen raus. Wie wird das Netz zur Lernmaschine? Digitale Systeme haben die Welt effizient gemacht. Effizienter, als wir es uns vor zwanzig Jahren hätten vorstellen können. Das Internet speichert Informationen und verteilt sie über den Globus, optimiert Unternehmens-Prozesse und sammelt Spenden für gute Anliegen ein. Das ist alles wunderbar. Aber da muss noch mehr gehen. Wie wird das Internet zur echten Lernmaschine? Die uns nicht ratlos mit endlosen Suchtrefferlisten zurück lässt, sondern das Wissen der Welt auf einer neuen Ebene anreichert und für alle nutzbar macht? Und wie speichern wir eigentlich Können? Auf die Suche nach Antworten begeben sich Wolf Lotter, Anja Ebersbach, Gunter Dueck, Christoph Meinel und Juergen Erbeldinger im Interview-Stream unseres Medienpartners brand eins – jeweils in den Pausen zwischen den Keynotes auf STAGE 1. Die Fragen stellt der brand eins Technologie-Korrespondent Thomas Ramge. Präsentiert von brand eins – Das Wirtschaftmagazin.	Christoph Meinel	stage 1	stage 1	1	06.05.2013 00:00:00	06.05.2013 11:15:00	06.05.2013 11:30:00	15	German	Beginner	research & education	Diskussion						http://youtube.com/watch?v=j4Pa3RCBC2s						
03.05.2013 00:00:00	6424	Iceland could have been innovative: Participatory democracy.	Iceland could have been innovative: With the first truly crowdsourced constitution. Nearly a thousand randomly selected Icelanders initiatively expressed wishes and contributed ideas. In November 2010, a citizen panel of 25 people was selected from 523 candidates. Although the Supreme Court entered caveat at the request of the "old conservative elites' opposition", it bypassed the parliament, because the court declared the 25 persons a Constitutional Council. Within only four months the men and women – accompanied by the citizens via Facebook, Youtube, Twitter and other sites – enrolled a jointly draft. However, a majority in Parliament has now decided that before the end of parliamentary election on 27th April there won't be a vote on the constitutional text. In the current Parliament the supporters of the text are slightly predominant, but according to the polls, conservative parties could dominate after the election – and they would reject the new constitution. Birgitta Jónsdóttir, Icelandic politician and chairwoman of the newly formed Pirate Party (Piratar), gives an overview of the constitutional initiative and update us on current policy developments as well as the International Modern Media Institute (IMMI). She will talk about the lessons learned of the crowdsourced constitution and will explain how open and participatory policy could and should look like. Organized in partnership with the reSource transmedial culture berlin/transmediale.	Birgitta Jónsdóttir	stage 1	stage 1	1	06.05.2013 00:00:00	06.05.2013 11:30:00	06.05.2013 12:30:00	60	English	Beginner	politics & society	Vortrag						http://youtube.com/watch?v=wdnHbeWlgV4						
03.05.2013 00:00:00	5370	brand eins	Informationen rein, Wissen raus. Wie wird das Netz zur Lernmaschine? Digitale Systeme haben die Welt effizient gemacht. Effizienter, als wir es uns vor zwanzig Jahren hätten vorstellen können. Das Internet speichert Informationen und verteilt sie über den Globus, optimiert Unternehmens-Prozesse und sammelt Spenden für gute Anliegen ein. Das ist alles wunderbar. Aber da muss noch mehr gehen. Wie wird das Internet zur echten Lernmaschine? Die uns nicht ratlos mit endlosen Suchtrefferlisten zurück lässt, sondern das Wissen der Welt auf einer neuen Ebene anreichert und für alle nutzbar macht? Und wie speichern wir eigentlich Können? Auf die Suche nach Antworten begeben sich Wolf Lotter, Anja Ebersbach, Gunter Dueck, Christoph Meinel und Juergen Erbeldinger im Interview-Stream unseres Medienpartners brand eins – jeweils in den Pausen zwischen den Keynotes auf STAGE 1. Die Fragen stellt der brand eins Technologie-Korrespondent Thomas Ramge. Präsentiert von brand eins – Das Wirtschaftmagazin.	Wolf Lotter	stage 1	stage 1	1	06.05.2013 00:00:00	06.05.2013 12:30:00	06.05.2013 12:45:00	15	German	Beginner	research & education	Diskussion						http://youtube.com/watch?v=kO4P5yj72IA						
03.05.2013 00:00:00	4946	Ecstasy and Despair: How Powerful Emotions Trigger Digital Activism	In the last year, we've seen unprecendented social uprising happening online – it seems like every day, there's a new movement for justice. But what makes a movement catch fire, and how are social technologies shifting our understanding of how power makes the world go 'round? In this talk, Deanna Zandt will connect the dots between amorphous global movements – #aufschrei, Planned Parenthood Saved Me, Trayvon Martin, Bell Bajao/Ring the Bell, and more – and reveal the intoxicating combination of power and emotional resonance that make revolutions happen.	Deanna Zandt	stage 1	stage 1	1	06.05.2013 00:00:00	06.05.2013 12:45:00	06.05.2013 13:15:00	30	English	Fortgeschrittene	politics & society	Vortrag						http://youtube.com/watch?v=beArpOK5Ov0						
03.05.2013 00:00:00	5597	Cybersexism	The internet is changing the rules of sex and power, but just as gender takes new forms online, so does misogyny, rape culture and sexual violence. A talk on the structure of sexism online, and how women are fighting back.	Laurie Penny	stage 1	stage 1	1	06.05.2013 00:00:00	06.05.2013 13:15:00	06.05.2013 13:45:00	30	English	Fortgeschrittene	politics & society	Vortrag						http://youtube.com/watch?v=ELw3PQOSgd0						
03.05.2013 00:00:00	5371	brand eins	Informationen rein, Wissen raus. Wie wird das Netz zur Lernmaschine? Digitale Systeme haben die Welt effizient gemacht. Effizienter, als wir es uns vor zwanzig Jahren hätten vorstellen können. Das Internet speichert Informationen und verteilt sie über den Globus, optimiert Unternehmens-Prozesse und sammelt Spenden für gute Anliegen ein. Das ist alles wunderbar. Aber da muss noch mehr gehen. Wie wird das Internet zur echten Lernmaschine? Die uns nicht ratlos mit endlosen Suchtrefferlisten zurück lässt, sondern das Wissen der Welt auf einer neuen Ebene anreichert und für alle nutzbar macht? Und wie speichern wir eigentlich Können? Auf die Suche nach Antworten begeben sich Wolf Lotter, Anja Ebersbach, Gunter Dueck, Christoph Meinel und Juergen Erbeldinger im Interview-Stream unseres Medienpartners brand eins – jeweils in den Pausen zwischen den Keynotes auf STAGE 1. Die Fragen stellt der brand eins Technologie-Korrespondent Thomas Ramge.	Juergen Erbeldinger	stage 1	stage 1	1	06.05.2013 00:00:00	06.05.2013 13:45:00	06.05.2013 14:00:00	15	German	Beginner	research & education	Diskussion						http://youtube.com/watch?v=IaDDS01xOoU						
