name	id	url	picture	biography	organization	position
Andreas Gebhard	65		http://13.re-publica.de/files/pictures/picture-65.jpg	Andreas Gebhard ist Mitgründer der re:publica und seit 2012 Geschäftsführer der republica GmbH. Besonders am Herzen liegt ihm die weitere Internationalisierung der Veranstaltung. Zudem ist er Gründer und Geschäftsführer von newthinking und setzt sich in diesem und in anderen Rahmen seit mehr als zehn Jahren für die Verbreitung von Open Source-Prozessen und -Strategien in Gesellschaft und Wirtschaft ein. In seiner Freizeit ist er begeistertes Vorstandsmitglied von Tennis Borussia Berlin	republica GmbH	CEO
Markus Beckedahl	46		http://13.re-publica.de/files/pictures/picture-46.jpg	Markus Beckedahl ist Mit-Gründer und Veranstalter der re:publica. Er bloggt seit 2002 auf netzpolitik.org über Politik in der digitalen Gesellschaft. Er ist Mitgründer der newthinking communications GmbH, einer Agentur für Open Source Strategien und digitale Kultur, mit Sitz in Berlin. Er sitzt als Sachverständiger in der Enquete-Kommission des Deutschen Bundestages zu “Internet und digitale Gesellschaft” und ist Mitglied des Medienrates der Medienanstalt Berlin-Brandenburg sowie persönliches Mitglied der deutschen UNESCO-Kommission. Ehrenamtlich ist er Sprecher von Creative Commons Deutschland.	netzpolitik.org	
Tanja Haeusler	2003		http://13.re-publica.de/files/pictures/picture-2003.jpg		re:publica / Spreeblick	SuperMarioMother
Johnny Haeusler	48		http://13.re-publica.de/files/pictures/picture-48.jpg	Born in Berlin in 1964, Johnny Haeusler founded the award-winning weblog Spreeblick in 2002. He is also a radio DJ and a member of post-punkrock band Plan B, which is touring again since 2012. He also ran a web design agency called defcom. Johnny has co-founded Germany's first blog ad network adnation as well as one of Europe's most exciting social media conferences, re:publica. His highly recommended eBook "I live by the river!" is available on Amazon and for iOS devices. Unlike this text here, it is written in German. In November 2012, Johnny Haeusler released an internet book for parents called "Netzgemüse" (the book, not the parents), which he co-wrote with his wife Tanja. He is rarely bored.	Spreeblick	
fukami 	251		http://13.re-publica.de/files/pictures/picture-251.jpg	fukami hat Spass am Gerät!		
Lorenz Matzat	1936		http://13.re-publica.de/files/pictures/picture-1936.jpg	Lorenz Matzat ist Datenjournalist und Unternehmer in Berlin	OpenDataCity	Geschäftsführender Gesellschafter
Erik Hersman	1433		http://13.re-publica.de/files/pictures/picture-1433.jpg	Raised in Sudan and Kenya, Erik brings unique energy and insight to the world of technology and innovation in Africa. He is a co-founder of Ushahidi, and as part of the Ushahidi strategy he has been building the iHub (Nairobi's innovation hub) since early 2010, a place that has grown to 10,000+ Kenyan developers, designers, and entrepreneurs with connections in the corporate, academic and investor sectors. An avid blogger, Erik writes two different technology-related blogs - AfriGadget and WhiteAfrican. He is frequently a speaker at meetings and conferences dealing with technology in Africa, mapping, blogging and web application development, including; TED, and PopTech. He is a TED Senior Fellow, a PopTech Faculty Fellow, Chairman of the AfriLabs association, and is a founding organizer of Maker Faire Africa.	iHub and Ushahidi	Founder
Harry Do	2514			What Would Harry Do' ist ein internationales kreatives Kollektiv, das durch Freundschaft verbunden ist und sich zum Ziel gemacht hat, 'den Harry' in seinen Mitmenschen zu wecken. Erinnerst du dich noch, wie viel Neugierde und Begeisterung in dir steckte, als du 5 Jahre alt warst? Wir nennen das den 'Harry' in dir – die kindliche Leichtigkeit, die vielleicht noch immer in dir steckt. Aufbauend auf unseren verschiedenen beruflichen und fachlichen Kompetenzen teilen wir die gemeinsame Leidenschaft für kreatives Arbeiten und innovative Lösungen (sprich, Altes neu zu denken). Wir arbeiten an den unterschiedlichsten Projekten indem wir Methoden des Design Thinkings anwenden und diese gerne mit Interessierten teilen. Auf der Re:publica könnt ihr uns kennenlernen: Wir werden präsentieren, wer wir sind und wie wir arbeiten. Komm vorbei und entdecke in dieser Stunde mit uns, wie viel kreative Naivität noch in dir steckt. Lass den Harry raus!	What Would Harry Do	
Betsy Hoover	1821		http://13.re-publica.de/files/pictures/picture-1821.jpg	Betsy Hoover is a partner with 270 Strategies and leads the firm’s digital strategy practice. She joins the team after serving most recently as Director of Digital Organizing for the 2012 Obama for America campaign, where she was primarily responsible for bridging the gap between online and “off-line” organizing. Betsy was recognized as one of Forbes magazine’s “30 Under 30: Law & Policy” list in 2011 for her work on the president’s re-election campaign and Mother Jones magazine described her as one of “Obama’s digital gurus” with the role “of a community builder, helping channel enthusiasm online into fundraising dollars and volunteer shifts.” Betsy got her start in the Obama organization as an organizer in South Carolina in 2007. She transitioned to digital organizing in 2010 while working alongside Mitch Stewart, Jeremy Bird, and other members of the 270 Strategies team at Organizing for America, the grassroots organization born out of the 2008 Obama campaign and dedicated to supporting the President’s policy initiatives. Betsy has long-identified herself as an organizer and knew from the time she was a child that she wanted to change the world. Her experience includes working for Sojourners/Call to Renewal as a Development Associate specializing in online fundraising. She currently lives in Chicago’s Lakeview neighborhood and enjoys skiing, running, music, and anything in the water.	270 strategies	Communication Director
Anja Ebersbach	724		http://13.re-publica.de/files/pictures/picture-724.jpg	Anja Ebersbach ist die Stellvertretende Vorsitzende des Präsidiums von Wikimedia Deutschland e.V. Anja betreibt seit 2007 eine Medienwerkstatt zur Einführung und Anwendungen von Wikis in Unternehmen und arbeitet als freie Autorin für IT-Magazine. Auch in ihrer Doktorarbeit beschäftigt sie sich mit der Einführung von Firmenwikis.	Wikimedia Deutschland - Gesellschaft zur Förderung Freien Wissens e. V.	Stellvertretende Vorsitzende des Präsidiums
